epoch,W1B1,W1B32,W4B4,W8B4,W16B4,W16B16
1,6.97135790970342,5.769536392868597,5.798333754947339,5.637989115466467,5.565718188259241,5.458929884679315
2,6.54627461104685,6.1099169770272574,5.76215237218767,5.511915674406197,5.516374504819765,5.295076305618817
3,6.595904545283982,5.944804498992945,5.848177047805317,5.595913392362283,5.376167134187846,5.093711468660459
4,6.943877433158546,6.030285684022735,5.683532692352996,5.366625497116697,5.352601127082136,5.022635943159297
5,6.745291163569473,5.86540532727528,5.70011625347436,5.384389377805207,5.185965648520097,4.915557040106895
6,6.677057284013337,6.467710170873293,5.735711499964635,5.321788703759096,5.22234983964069,4.843834447490272
7,6.491126805859357,5.886932591895609,5.735337196672104,5.235302324237239,5.124833817687235,4.774642243466757
8,6.461135945210285,5.903009541412931,5.7906983588345,5.219949797262601,5.106510337583227,4.74509327276022
9,6.6940998766912045,5.95201100640368,5.682176066498569,5.187586620666335,5.017138551078625,4.714109301177349
10,6.8463699916512395,5.96644571717147,5.710195213401054,5.147221819770346,5.005220434431674,4.703012720113713
11,6.732081149976763,6.023098260472424,5.615797100066087,5.075453002956904,4.964811417300996,4.652499329327064
12,6.518695241672352,5.979412771647012,5.685882000719477,5.1154852006082,4.945398339236406,4.650061817183854
13,6.694906667494627,5.815386085502224,5.494541172737992,5.1053343896904995,4.920147758859637,4.58709631445923
14,6.823404921674111,5.971432840156113,5.594448634133598,5.105843892161286,4.902768107148071,4.593075505533059
15,6.630248654243017,6.015164495884403,5.493035891406465,5.05051209880973,4.871073132446789,4.520865587782263
16,6.880137293902859,5.983765133867892,5.391365551145694,5.0417418795461275,4.852838544185527,4.541789050922344
17,6.512652559977774,6.09760336198741,5.392823162707081,5.036790129434417,4.841288258460703,4.489839091467074
18,6.768445603929538,6.02287387631523,5.528280457245859,4.9665718781461505,4.817894634453883,4.4978643453115055
19,6.581170187079749,6.230344880573049,5.338182158595028,4.934669184968317,4.7993114218134645,4.4733880802808015
20,6.784217946458631,6.1631949158627926,5.415596274330838,4.965995030903405,4.788301228634719,4.485001818690308
21,6.971985385003702,6.129794775048068,5.542837093451913,4.952603524966372,4.758685964790836,4.435441970592245
22,7.749225107805029,6.005676157615496,5.341052540965741,4.960488744068392,4.769155536563978,4.454077733478674
23,6.787159442063239,5.970308847037767,5.3420295068686725,4.9111804504042915,4.753147228049368,4.442066466651801
24,6.696119848546691,6.114546500181306,5.316702379517161,4.932549864122749,4.753604175735726,4.437170274121373
25,6.774343663929575,6.261114268184481,5.39519077680137,4.898593962397713,4.737574424614602,4.427692734168972
26,6.7072749497787605,6.084745283635797,5.349984697992993,4.934736712886814,4.741259157775495,4.439450709657293
27,6.715644860910266,6.209524687099944,5.333649229895869,4.89468981094732,4.739440919589641,4.412803093938283
28,6.683947102037308,6.261098616407487,5.254815935881485,4.878967582621488,4.7201728770483795,4.433835452576007
29,6.886333209777774,6.148169822831137,5.325003411179221,4.885671975499307,4.721237970629176,4.365227692842356
30,6.718777947702046,6.059187885693889,5.302759388514733,4.847420982361402,4.709790860909709,4.4576822070492845
31,6.60121397495453,6.033870014336116,5.388523054373588,4.857011895135791,4.710995520200802,4.385653369638292
32,6.770685644732742,6.18029372217841,5.310494310123638,4.823436835270334,4.724562623708822,4.384333469633395
33,6.595656694766887,6.221785590039515,5.3607064318444095,4.8221325202600145,4.701033539750563,4.368700512055183
34,6.706974172739342,6.35950604365436,5.360838301267598,4.8213172677014615,4.684331092484514,4.3851932864006224
35,6.741920064195,6.101999042510764,5.346997452071866,4.778901682566954,4.672050370432035,4.3720763939174825
36,6.524491039783093,6.054336274734038,5.307984363494323,4.835321302979808,4.729174825569194,4.345173411788138
37,6.795846883226013,6.116361037509341,5.270995917992314,4.857114442841006,4.683792593147181,4.355836569631092
38,6.524048211826,6.168586254103737,5.265317896098397,4.808251784704577,4.732629329038787,4.353692371621143
39,6.892124392718686,6.2923786553320555,5.338156939370731,4.809527143916027,4.651175025588089,4.336763665554736
40,6.826919098814584,6.263807960905027,5.297034132155751,4.807848034842558,4.678749765351813,4.334235203045296
41,6.782827000260835,6.047296974298163,5.330681058319194,4.819142989466821,4.6409113538210285,4.325862298772413
42,6.713152679431013,6.107503365074303,5.316926995164164,4.756761477233002,4.636245971122924,4.328782726856936
43,6.830257703505471,6.09049599832562,5.316087290211155,4.853340489743815,4.673733093691913,4.293764005909122
44,6.715806303768771,6.143643390740727,5.194395234966619,4.750658759658247,4.660484959133427,4.3116359024472155
45,6.537647385310831,6.1840149126363695,5.2593643009707,4.824843550543576,4.635607091506794,4.291271204204282
46,6.546276804088505,6.070982374372313,5.203742620455123,4.750976000978501,4.625003592425937,4.288579681185348
47,6.958773440485265,6.238653675460808,5.218023132349655,4.7865051118762825,4.645633937762035,4.285173897868942
48,6.458858539054569,6.203150723827661,5.214972579620021,4.7747805344930025,4.625116180969807,4.257996904414693
49,6.595493276714651,6.172840462731322,5.1869210318078816,4.751799849835509,4.618457655903979,4.261598764152884
50,6.799578656281731,6.250260861887375,5.2413926591770075,4.717704742761307,4.593457516531067,4.26745220108651
