step,inflowVel, ref, train
0, 0.005194349169810958, 0.008898285713361424, 0.005326698523556526
1, 0.0050160071476786335, 0.00875034541807477, 0.005006810898486619
2, 0.004940595229019433, 0.008639516338454807, 0.004884784782480613
3, 0.004872086814336762, 0.008506328511959335, 0.0047699136262639155
4, 0.004789811422047372, 0.008381012543739767, 0.004680919245368629
5, 0.004699059463883391, 0.008254503486722804, 0.004599857267709968
6, 0.004601790674485189, 0.008147274992888694, 0.00452455528555782
7, 0.0044982477012001755, 0.008061016639629137, 0.004455344724082558
8, 0.004394823256402048, 0.008003471002595394, 0.004387538967248692
9, 0.004292102636604387, 0.007964330546491198, 0.00432513397294455
10, 0.0041995096003555245, 0.00793713468794293, 0.004263415886396805
11, 0.004114865022997956, 0.007917273778064006, 0.004203515804704542
12, 0.004045288505689759, 0.007893887878846779, 0.004145385507634917
13, 0.003983806188197568, 0.00786487251495386, 0.0040868132730277566
14, 0.003928970898780686, 0.00782064943841736, 0.0040289948953823925
15, 0.003886973504393154, 0.007774143190752483, 0.003974339231393038
16, 0.0038527672617446416, 0.007720272180027911, 0.003920558129165328
17, 0.0038256175200942094, 0.007672715835544884, 0.0038679240562741763
18, 0.0037993101784793387, 0.007621288185013992, 0.003819283275254229
19, 0.003774404385407077, 0.007576373444991773, 0.003780314058821743
20, 0.003744465161867934, 0.007538493871172233, 0.003744007648347586
21, 0.0037124438711887827, 0.007518067095943154, 0.0037172570089235297
22, 0.003677963098256419, 0.007507837740930899, 0.0036960922719940278
23, 0.0036365208378255367, 0.007511940049403674, 0.003688081285484819
24, 0.0035935091772401123, 0.007512549703161652, 0.0036876001337396106
25, 0.0035547988662483557, 0.007489995098700717, 0.00370087541166679
26, 0.0035175746939849974, 0.007474190570396364, 0.0037082163517993413
27, 0.0034802926404796427, 0.007442269518796927, 0.00371990866832956
28, 0.003440443238715303, 0.007404720347889652, 0.0037234863453470086
29, 0.0033989887496846467, 0.007333798009064465, 0.0037269256695987517
30, 0.0033579939657074564, 0.0072543168673781435, 0.0037242925083256126
31, 0.00331761132811505, 0.0071484996335945536, 0.003716648737839822
32, 0.0032763877298308567, 0.007053679441741684, 0.003706414443935193
33, 0.0032302415091561387, 0.0069658032413256075, 0.003686854620076057
34, 0.003187354348659095, 0.006870040575371137, 0.003670110912071976
35, 0.003150026115758551, 0.00677211920841903, 0.0036425616015917056
36, 0.0031238537601676443, 0.006675170837135279, 0.0036165573286870444
37, 0.0031061545517308874, 0.00658389843732604, 0.0035770450800126866
38, 0.003100035521574686, 0.006495474369253544, 0.0035422235996067425
39, 0.0031030999057665492, 0.006408280112566201, 0.003503673593377233
40, 0.0031144453802321595, 0.006316736172596715, 0.003463847692228698
41, 0.0031303040253937335, 0.006231785872985823, 0.003421980572435779
42, 0.0031488732029521104, 0.006152128302419968, 0.0033875614673855928
43, 0.0031649214735220955, 0.006085187534359411, 0.0033574282499483432
44, 0.003176133490810277, 0.006025731109825299, 0.003334293010976765
45, 0.0031863642727258737, 0.005979265024049846, 0.0033208456690153685
46, 0.0031892799189898466, 0.005937796803930238, 0.0033021071313718477
47, 0.003186261896011491, 0.00591049776224413, 0.0032818860486886333
48, 0.0031752470974554044, 0.005887534486889253, 0.0032635503702239865
49, 0.0031611372811636554, 0.005873252984835451, 0.003248059123618724
50, 0.0031443010275242693, 0.005857691375219307, 0.003233245633349488
51, 0.0031293046235255193, 0.005845854990129153, 0.003221840978494486
52, 0.0031141672488768646, 0.005832853779142706, 0.0032110028602666467
53, 0.0030982905800052037, 0.00582602988038513, 0.0032049869851155607
54, 0.0030848710636940395, 0.005822765293953896, 0.003209237266207395
55, 0.003075218040357528, 0.005824537198576884, 0.0032224811672655843
56, 0.003074853076720668, 0.005831667899372209, 0.0032421025875744676
57, 0.0030825464967783284, 0.005839951411992703, 0.0032668588129555424
58, 0.003098781358660531, 0.005851350124001526, 0.003295255394215225
59, 0.0031215576064300603, 0.00586406159080137, 0.0033255504293164314
60, 0.0031532402776426466, 0.00587731177808909, 0.0033612024925395727
61, 0.003189972014187281, 0.0058883416493827915, 0.003391238142708376
62, 0.0032339276805886624, 0.005893997505410338, 0.0034212105824276045
63, 0.0032801413727173213, 0.005893238395380224, 0.0034466785149094375
64, 0.0033260960534022958, 0.005883141492022152, 0.0034668677228518185
65, 0.0033669854655359534, 0.005869308117829753, 0.003483959531314933
66, 0.003401081661519049, 0.00585179015640085, 0.0034932908619525046
67, 0.0034253976023862587, 0.005832836395263921, 0.0034962496888130286
68, 0.0034382700160407523, 0.00581462676464589, 0.003491672055340769
69, 0.0034449742122349674, 0.00580094040564663, 0.0034912695064979837
70, 0.00344174715891043, 0.005793059883031061, 0.003486669941475288
71, 0.003433180903008819, 0.005792227464820013, 0.0034858444222540127
72, 0.003417847500674642, 0.005801956671672997, 0.0034861818500356956
73, 0.003400969609744964, 0.005819362607645311, 0.0034878298755980975
74, 0.003382840293790702, 0.005846235541230697, 0.003494455708883565
75, 0.003369715739444762, 0.0058792411386848825, 0.0035075966467723874
76, 0.0033598748950875185, 0.005917642465805977, 0.003526686392540076
77, 0.003354804137096497, 0.005958290643570881, 0.003546098402452242
78, 0.003352635771052013, 0.0060039323946648425, 0.003564665874708848
79, 0.003353298666948933, 0.006051269879671509, 0.0035800524103598995
80, 0.003354742466977364, 0.006105481995063657, 0.0035942052931958257
81, 0.003353098982468629, 0.006166357587743909, 0.0036042478357805057
82, 0.0033488619233065235, 0.0062329804318364415, 0.0036134688003132487
83, 0.003339717922417502, 0.006302724586285456, 0.0036207237259492046
84, 0.0033264270421202047, 0.0063781997865269766, 0.0036247875032806983
85, 0.0033080972126636804, 0.0064594514970671875, 0.003628442833555069
86, 0.0032874260508388826, 0.006544128463405458, 0.0036318969019260646
87, 0.003266575860447522, 0.006629137465627853, 0.003636243836582738
88, 0.0032491833337292175, 0.0067061209866569015, 0.0036421838013672592
89, 0.003239544089979449, 0.006773126924905798, 0.003650183614280983
90, 0.003236959718243999, 0.006833271069776451, 0.0036558235581202357
91, 0.00324237036654801, 0.006889004909075125, 0.003659289326016617
92, 0.003262745714731637, 0.00693741397400259, 0.00366252479144245
93, 0.003293587543039862, 0.007014315876176378, 0.0036651433678532254
94, 0.003336033193504429, 0.007086394548648943, 0.00366861339929416
95, 0.0033937304529209076, 0.007153757180687793, 0.0036718611584600053
96, 0.003446294826879493, 0.007220047350365038, 0.003676706316143613
97, 0.0035218119868708105, 0.007302264159070958, 0.0036821779251682285
98, 0.0035866330374154268, 0.007384340690721201, 0.003691301932961576
99, 0.003655732724509644, 0.007474446118747064, 0.0037000764980301454
100, 0.0037116936700609137, 0.007555592171183474, 0.0037094020303444584
101, 0.003759987841097321, 0.00759627912872985, 0.0037163321191161364
102, 0.003795749820621065, 0.007618183735744903, 0.003722319741221103
103, 0.0038137514677592495, 0.0076347186044215054, 0.003724410535565837
104, 0.0038342627440467753, 0.00764097662293263, 0.0037208197291030997
105, 0.0038271397141506147, 0.007629242909282338, 0.0037203686168780776
106, 0.0038259989552467425, 0.007617478461959166, 0.0037182138599623905
107, 0.003814469692917913, 0.0076049812424731, 0.003722783121373814
108, 0.0038056132747121773, 0.007613167914815937, 0.0037348858203438283
109, 0.003797697744833417, 0.007638297587585976, 0.0037580769294268497
110, 0.003796272216348152, 0.007691129256834591, 0.0037906056106895188
111, 0.003803059964343832, 0.007752814176409054, 0.003839058724928181
112, 0.0038169504578076667, 0.007838723262104531, 0.003893644309526108
113, 0.003838431726579666, 0.007932759232347411, 0.003953428064810142
114, 0.003868547183462274, 0.008048106014579004, 0.004008961335884426
115, 0.0039050129584373627, 0.0081679318002636, 0.004068397952827708
116, 0.003949048484097146, 0.008298111330200251, 0.004113593856715236
117, 0.00399886682186318, 0.008429691319205757, 0.004158769935778345
